pH,Turbidez,Temperatura,TDS,ORP,OD,Etiqueta
7.6,1.0,23.2,707.0,420.0,9.3,Agua Segura
7.6,3.0,24.6,573.0,1000.0,6.8,Anomalia de Hardware
8.0,2.0,15.1,422.0,393.0,9.6,Agua Segura
7.2,274.0,20.4,834.0,102.0,7.4,Anomalia Fisica
6.9,1.0,29.2,240.0,242.0,6.9,Agua Segura
7.8,1.0,28.7,144.0,422.0,8.8,Agua Segura
7.3,3.0,22.6,955.0,367.0,7.6,Agua Segura
7.2,174.0,21.1,435.0,275.0,8.1,Anomalia Fisica
7.3,3.0,19.2,1000.0,302.0,8.7,Agua Segura
6.7,3.0,24.7,183.0,206.0,9.7,Agua Segura
7.2,1.0,21.0,383.0,402.0,7.4,Agua Segura
8.3,1.0,28.8,147.0,516.0,6.5,Agua Segura
3.0,4.0,18.6,1000.0,-111.0,2.0,Anomalia Quimica
7.2,3.0,18.2,1000.0,320.0,8.5,Agua Segura
7.6,0.0,15.3,454.0,420.0,6.9,Agua Segura
7.7,172.0,25.6,762.0,173.0,4.5,Anomalia Fisica
6.7,2.0,20.6,524.0,530.0,7.8,Agua Segura
6.1,29.0,30.6,312.0,16.0,3.0,Anomalia Biologica/Estancamiento
7.2,2.0,18.1,75.0,381.0,6.5,Agua Segura
7.0,3.0,23.1,977.0,456.0,8.8,Agua Segura
7.3,3.0,24.5,982.0,251.0,8.9,Agua Segura
6.6,47.0,24.4,554.0,208.0,6.9,Anomalia Fisica
8.4,2.0,24.7,361.0,411.0,6.3,Agua Segura
7.2,1.0,19.6,388.0,472.0,5.9,Agua Segura
7.6,1.0,25.4,641.0,273.0,10.1,Agua Segura
8.1,2.0,20.1,63.0,598.0,6.8,Agua Segura
7.0,2.0,27.6,130.0,221.0,4.5,Agua Segura
8.0,2.0,25.5,501.0,245.0,6.1,Agua Segura
5.5,13.0,18.8,1000.0,-582.0,3.7,Anomalia Quimica
6.2,28.0,30.1,262.0,33.0,1.1,Anomalia Biologica/Estancamiento
7.0,1.0,22.2,61.0,607.0,9.3,Agua Segura
6.9,10.0,28.4,560.0,10.0,0.3,Anomalia Biologica/Estancamiento
6.7,3.0,15.9,198.0,362.0,6.4,Agua Segura
3.4,10.0,28.9,1000.0,-224.0,4.8,Anomalia Quimica
7.6,0.0,29.3,502.0,211.0,9.0,Agua Segura
6.9,224.0,23.9,930.0,236.0,4.4,Anomalia Fisica
7.8,10.0,27.7,350.0,12.0,0.6,Anomalia Biologica/Estancamiento
7.5,282.0,18.5,699.0,220.0,4.2,Anomalia Fisica
7.4,1.0,19.4,407.0,350.0,7.9,Agua Segura
7.4,3.0,24.4,993.0,453.0,9.3,Agua Segura
3.6,9.0,25.9,1000.0,-538.0,3.8,Anomalia Quimica
6.9,3.0,29.9,451.0,168.0,5.3,Agua Segura
8.3,27.0,24.7,552.0,-4.0,0.3,Anomalia Biologica/Estancamiento
7.9,0.0,28.8,535.0,234.0,6.1,Agua Segura
7.8,3999.0,19.2,396.0,456.0,9.8,Anomalia de Hardware
8.2,2.0,23.9,384.0,229.0,9.1,Agua Segura
6.8,0.0,19.0,420.0,536.0,7.5,Agua Segura
7.0,2.0,20.1,153.0,295.0,6.1,Agua Segura
4.0,0.0,18.8,1000.0,-191.0,3.5,Anomalia Quimica
4.9,6.0,18.0,1000.0,-577.0,4.5,Anomalia Quimica
6.8,2.0,26.4,87.0,578.0,6.0,Agua Segura
8.5,2.0,18.4,596.0,286.0,8.3,Agua Segura
7.2,3.0,26.2,521.0,602.0,8.1,Agua Segura
7.1,2.0,18.8,403.0,253.0,7.2,Agua Segura
7.4,2.0,22.4,598.0,79.0,5.0,Agua Segura
6.8,1.0,28.4,176.0,416.0,9.3,Agua Segura
6.9,2.0,19.0,235.0,570.0,8.8,Agua Segura
7.6,186.0,27.0,449.0,367.0,7.7,Anomalia Fisica
6.9,2.0,23.1,758.0,430.0,6.1,Agua Segura
4.3,2.0,25.1,1000.0,-177.0,2.3,Anomalia Quimica
8.2,3.0,25.3,915.0,456.0,9.4,Agua Segura
7.2,4000.0,14.8,125.0,436.0,9.8,Anomalia de Hardware
7.7,1.0,27.7,252.0,450.0,8.4,Agua Segura
7.9,1.0,25.1,318.0,508.0,6.6,Agua Segura
8.2,1.0,29.7,773.0,229.0,7.2,Agua Segura
7.6,2.0,20.0,369.0,13.0,0.2,Anomalia de Hardware
6.8,3.0,24.7,1000.0,261.0,6.9,Agua Segura
7.1,0.0,22.1,414.0,485.0,9.4,Agua Segura
7.5,21.0,32.8,208.0,37.0,1.2,Anomalia Biologica/Estancamiento
7.5,23.0,25.2,346.0,-69.0,1.8,Anomalia Biologica/Estancamiento
7.3,91.0,21.1,718.0,284.0,7.8,Anomalia Fisica
7.6,1.0,21.3,249.0,486.0,7.0,Agua Segura
8.0,299.0,19.5,924.0,210.0,4.7,Anomalia Fisica
6.9,1.0,15.7,560.0,315.0,9.2,Agua Segura
13.8,0.0,20.7,153.0,325.0,8.8,Anomalia de Hardware
6.9,2.0,27.6,362.0,209.0,8.8,Agua Segura
8.2,13.0,34.5,331.0,-38.0,1.3,Anomalia Biologica/Estancamiento
7.2,2.0,22.5,576.0,569.0,7.2,Agua Segura
3.0,13.0,27.5,1000.0,-153.0,5.1,Anomalia Quimica
7.5,2.0,25.3,434.0,221.0,7.8,Agua Segura
3.4,0.0,17.2,1000.0,-649.0,3.2,Anomalia Quimica
8.4,2.0,23.3,774.0,511.0,7.9,Agua Segura
6.7,2.0,22.3,365.0,146.0,5.2,Agua Segura
7.2,0.0,16.7,358.0,327.0,8.7,Agua Segura
2.9,9.0,25.5,1000.0,-685.0,2.2,Anomalia Quimica
7.3,0.0,28.0,560.0,372.0,7.8,Agua Segura
7.9,2.0,29.9,325.0,324.0,9.4,Agua Segura
8.4,2.0,28.8,668.0,303.0,7.8,Agua Segura
2.8,15.0,19.3,1000.0,-137.0,2.8,Anomalia Quimica
6.7,2.0,27.1,792.0,521.0,9.6,Agua Segura
7.8,2.0,25.8,408.0,249.0,6.6,Agua Segura
7.2,283.0,25.8,740.0,199.0,7.1,Anomalia Fisica
6.7,2.0,28.4,177.0,506.0,6.3,Agua Segura
7.5,211.0,21.2,480.0,174.0,7.0,Anomalia Fisica
8.0,0.0,21.3,471.0,412.0,7.7,Agua Segura
5.2,12.0,25.4,1000.0,-498.0,2.5,Anomalia Quimica
2.2,2.0,20.7,1000.0,-418.0,2.0,Anomalia Quimica
2.6,13.0,22.1,1000.0,-632.0,4.3,Anomalia Quimica
6.9,3.0,23.2,756.0,501.0,7.6,Agua Segura
7.3,2.0,25.5,137.0,319.0,6.6,Agua Segura
7.9,2.0,28.4,162.0,597.0,6.9,Agua Segura
7.8,3.0,28.4,407.0,454.0,10.1,Agua Segura
8.1,2.0,24.0,990.0,260.0,6.6,Agua Segura
6.9,2.0,16.5,151.0,497.0,8.7,Agua Segura
8.1,22.0,28.8,239.0,-92.0,1.0,Anomalia Biologica/Estancamiento
7.9,2.0,25.5,374.0,278.0,7.9,Agua Segura
6.4,17.0,31.7,485.0,-27.0,1.1,Anomalia Biologica/Estancamiento
7.9,2.0,21.3,243.0,572.0,9.5,Agua Segura
7.6,21.0,32.2,686.0,-40.0,2.8,Anomalia Biologica/Estancamiento
8.0,9.0,32.9,513.0,-117.0,0.4,Anomalia Biologica/Estancamiento
7.6,211.0,23.0,713.0,146.0,7.3,Anomalia Fisica
13.1,2.0,27.4,677.0,548.0,7.5,Anomalia de Hardware
7.6,3.0,25.5,1000.0,465.0,8.3,Agua Segura
7.3,2.0,17.9,71.0,434.0,9.8,Agua Segura
7.4,2.0,22.3,247.0,277.0,9.2,Agua Segura
7.5,13.0,33.0,548.0,16.0,0.7,Anomalia Biologica/Estancamiento
13.4,0.0,25.2,423.0,492.0,9.7,Anomalia de Hardware
7.6,1.0,15.1,740.0,403.0,9.2,Agua Segura
7.2,2.0,24.1,590.0,381.0,7.3,Agua Segura
7.3,2.0,22.3,112.0,539.0,6.3,Agua Segura
8.2,3.0,17.2,904.0,449.0,9.7,Agua Segura
2.2,12.0,28.2,1000.0,-354.0,3.2,Anomalia Quimica
7.4,1.0,17.8,268.0,211.0,9.7,Agua Segura
7.6,21.0,27.9,410.0,-9.0,0.5,Anomalia Biologica/Estancamiento
7.2,80.0,28.1,749.0,235.0,7.9,Anomalia Fisica
6.9,2.0,29.6,458.0,122.0,4.7,Agua Segura
8.1,2.0,16.9,521.0,245.0,9.6,Agua Segura
8.0,1.0,17.6,418.0,265.0,9.4,Agua Segura
7.7,2.0,18.1,419.0,524.0,9.3,Agua Segura
8.2,2.0,27.7,750.0,289.0,9.0,Agua Segura
8.1,112.0,20.9,689.0,179.0,5.7,Anomalia Fisica
7.0,109.0,23.9,327.0,134.0,4.2,Anomalia Fisica
6.5,1.0,25.3,635.0,534.0,9.4,Agua Segura
7.3,2.0,17.4,107.0,136.0,4.2,Agua Segura
3.1,9.0,14.7,1000.0,-453.0,5.7,Anomalia Quimica
8.3,1.0,25.7,158.0,404.0,10.0,Agua Segura
2.5,1.0,15.3,1000.0,-644.0,3.7,Anomalia Quimica
7.0,2.0,21.3,797.0,374.0,9.2,Agua Segura
7.0,0.0,15.8,401.0,572.0,8.8,Agua Segura
7.3,2.0,17.9,417.0,529.0,9.7,Agua Segura
8.1,144.0,24.2,736.0,212.0,5.1,Anomalia Fisica
6.8,1.0,22.9,786.0,595.0,7.5,Agua Segura
7.3,16.0,27.0,459.0,23.0,1.5,Anomalia Biologica/Estancamiento
8.0,3.0,23.4,252.0,313.0,8.0,Agua Segura
8.0,8.0,31.1,668.0,-48.0,0.2,Anomalia Biologica/Estancamiento
7.2,1.0,23.9,80.0,347.0,9.9,Agua Segura
7.2,0.0,26.5,321.0,463.0,9.3,Agua Segura
8.4,280.0,26.1,631.0,164.0,6.6,Anomalia Fisica
7.8,1.0,22.6,121.0,327.0,6.7,Agua Segura
7.2,1.0,21.5,341.0,491.0,9.1,Agua Segura
12.5,0.0,27.5,215.0,230.0,9.8,Anomalia de Hardware
6.5,1.0,16.6,322.0,339.0,9.8,Agua Segura
7.5,2.0,17.8,347.0,597.0,6.2,Agua Segura
8.1,2.0,21.8,713.0,533.0,7.4,Agua Segura
3.4,13.0,29.6,1000.0,-186.0,4.6,Anomalia Quimica
8.2,2.0,17.7,284.0,592.0,6.3,Agua Segura
8.1,1.0,23.7,418.0,201.0,9.2,Agua Segura
7.1,4000.0,23.5,738.0,235.0,6.0,Anomalia de Hardware
6.8,1.0,17.1,115.0,328.0,6.8,Agua Segura
7.2,2.0,26.2,355.0,387.0,8.3,Agua Segura
6.9,2.0,29.8,776.0,295.0,7.7,Agua Segura
7.0,20.0,34.0,364.0,18.0,1.7,Anomalia Biologica/Estancamiento
7.6,1.0,24.5,408.0,484.0,9.5,Agua Segura
7.2,2.0,21.8,470.0,306.0,8.9,Agua Segura
7.0,2.0,18.9,117.0,415.0,9.6,Agua Segura
6.9,0.0,24.6,393.0,529.0,6.1,Agua Segura
6.8,2.0,26.6,282.0,359.0,8.3,Agua Segura
8.3,3.0,21.9,788.0,341.0,7.4,Agua Segura
7.0,3.0,18.7,607.0,564.0,9.4,Agua Segura
7.0,276.0,16.8,747.0,406.0,7.6,Anomalia Fisica
2.1,11.0,22.3,1000.0,-184.0,6.0,Anomalia Quimica
7.2,0.0,28.6,383.0,321.0,8.3,Agua Segura
6.9,1.0,18.5,490.0,353.0,7.1,Agua Segura
2.9,1.0,27.0,1000.0,-153.0,2.8,Anomalia Quimica
7.4,3.0,22.4,1000.0,260.0,6.5,Agua Segura
8.1,2.0,26.2,396.0,160.0,4.7,Agua Segura
8.4,3.0,16.6,944.0,577.0,7.4,Agua Segura
7.1,3.0,28.2,690.0,344.0,5.9,Agua Segura
7.4,1.0,18.3,590.0,616.0,7.7,Agua Segura
8.3,7.0,32.3,374.0,9.0,1.7,Anomalia Biologica/Estancamiento
7.5,1.0,24.9,663.0,313.0,5.9,Agua Segura
6.8,2.0,26.8,538.0,333.0,8.0,Agua Segura
7.9,1.0,29.2,391.0,152.0,5.6,Agua Segura
7.4,2.0,25.3,162.0,448.0,7.9,Agua Segura
7.3,1.0,20.9,372.0,420.0,9.6,Agua Segura
6.6,1.0,20.3,719.0,496.0,7.5,Agua Segura
8.1,2.0,19.6,338.0,118.0,4.9,Agua Segura
8.0,223.0,26.0,536.0,99.0,4.1,Anomalia Fisica
7.8,4000.0,24.4,683.0,452.0,7.5,Anomalia de Hardware
7.7,3.0,26.5,595.0,351.0,6.5,Agua Segura
6.7,0.0,18.8,383.0,166.0,5.6,Agua Segura
7.6,3.0,28.7,937.0,433.0,6.3,Agua Segura
2.2,6.0,25.3,1000.0,-457.0,5.3,Anomalia Quimica
7.0,1.0,20.9,376.0,371.0,7.9,Agua Segura
7.8,18.0,34.6,491.0,20.0,1.0,Anomalia Biologica/Estancamiento
6.8,2.0,22.2,544.0,359.0,7.4,Agua Segura
8.2,2.0,23.2,614.0,511.0,9.4,Agua Segura
7.4,3.0,18.4,931.0,389.0,8.0,Agua Segura
8.3,1.0,29.1,273.0,374.0,7.5,Agua Segura
6.6,2.0,19.3,440.0,163.0,5.1,Agua Segura
8.4,0.0,22.0,270.0,-6.0,0.0,Anomalia de Hardware
6.9,1.0,23.8,337.0,288.0,8.2,Agua Segura
7.4,9.0,27.9,284.0,55.0,2.0,Anomalia Biologica/Estancamiento
8.0,0.0,24.8,605.0,143.0,4.2,Agua Segura
6.2,30.0,29.7,238.0,-73.0,1.4,Anomalia Biologica/Estancamiento
7.6,2.0,23.4,618.0,556.0,7.9,Agua Segura
7.0,4.0,18.3,913.0,365.0,6.7,Agua Segura
7.3,22.0,30.0,476.0,-118.0,2.5,Anomalia Biologica/Estancamiento
6.7,3.0,16.0,999.0,296.0,7.8,Agua Segura
7.9,0.0,23.6,554.0,539.0,7.3,Agua Segura
7.4,0.0,27.5,629.0,155.0,5.5,Agua Segura
8.2,2.0,19.9,668.0,545.0,8.9,Agua Segura
6.5,8.0,33.1,342.0,-44.0,0.6,Anomalia Biologica/Estancamiento
8.2,234.0,28.9,360.0,195.0,6.2,Anomalia Fisica
6.7,1.0,22.3,705.0,374.0,9.4,Agua Segura
6.6,2.0,17.0,487.0,543.0,9.5,Agua Segura
6.6,2.0,26.5,640.0,218.0,6.7,Agua Segura
7.0,6.0,28.9,497.0,-71.0,1.5,Anomalia Biologica/Estancamiento
7.3,2.0,20.7,645.0,437.0,9.5,Agua Segura
6.2,15.0,29.6,296.0,13.0,2.7,Anomalia Biologica/Estancamiento
7.8,1.0,28.0,409.0,214.0,5.0,Agua Segura
7.2,23.0,29.1,301.0,9.0,2.5,Anomalia Biologica/Estancamiento
6.8,1.0,19.7,384.0,380.0,8.6,Agua Segura
7.7,0.0,16.8,424.0,527.0,8.4,Agua Segura
2.2,5.0,29.8,1000.0,-593.0,4.3,Anomalia Quimica
8.4,0.0,18.2,715.0,513.0,6.4,Agua Segura
7.0,0.0,25.5,160.0,249.0,6.0,Agua Segura
7.3,3.0,27.5,271.0,134.0,5.4,Agua Segura
7.2,0.0,29.1,718.0,292.0,7.7,Agua Segura
8.1,3.0,23.3,992.0,554.0,9.1,Agua Segura
7.2,1.0,25.9,359.0,222.0,6.5,Agua Segura
8.4,113.0,22.1,584.0,91.0,5.9,Anomalia Fisica
2.9,6.0,25.6,1000.0,-487.0,3.2,Anomalia Quimica
7.2,1.0,22.2,221.0,251.0,8.9,Agua Segura
7.7,1.0,22.5,556.0,226.0,8.8,Agua Segura
7.8,26.0,25.2,507.0,-22.0,2.3,Anomalia Biologica/Estancamiento
6.9,0.0,26.8,90.0,340.0,6.9,Agua Segura
8.1,2.0,21.9,338.0,487.0,7.3,Agua Segura
7.6,2.0,16.4,388.0,242.0,8.8,Agua Segura
6.7,2.0,22.8,593.0,255.0,8.1,Agua Segura
7.3,22.0,32.3,670.0,-80.0,0.7,Anomalia Biologica/Estancamiento
7.7,2.0,16.6,776.0,438.0,9.2,Agua Segura
8.4,17.0,26.0,291.0,-13.0,0.4,Anomalia Biologica/Estancamiento
7.9,1.0,23.8,137.0,592.0,8.3,Agua Segura
7.5,2.0,23.4,754.0,386.0,7.6,Agua Segura
7.7,3.0,28.4,1000.0,433.0,6.5,Agua Segura
7.1,1.0,21.7,656.0,342.0,7.5,Agua Segura
8.0,0.0,20.8,186.0,232.0,9.7,Agua Segura
7.8,8.0,28.4,358.0,-18.0,2.4,Anomalia Biologica/Estancamiento
6.1,16.0,27.4,415.0,40.0,2.0,Anomalia Biologica/Estancamiento
6.8,97.0,20.8,770.0,231.0,4.7,Anomalia Fisica
8.1,205.0,18.7,442.0,159.0,7.3,Anomalia Fisica
8.0,2.0,21.0,582.0,387.0,10.2,Agua Segura
7.0,0.0,20.1,456.0,322.0,9.7,Agua Segura
6.8,274.0,24.2,353.0,224.0,6.3,Anomalia Fisica
7.1,0.0,29.8,267.0,983.0,8.6,Anomalia de Hardware
7.5,229.0,25.5,468.0,164.0,4.7,Anomalia Fisica
7.9,2.0,16.4,206.0,541.0,6.6,Agua Segura
7.4,1.0,17.5,797.0,290.0,8.0,Agua Segura
7.4,1.0,29.5,802.0,248.0,7.8,Agua Segura
7.9,1.0,27.9,263.0,312.0,9.0,Agua Segura
4.9,14.0,27.4,1000.0,-669.0,2.5,Anomalia Quimica
8.3,0.0,24.4,282.0,417.0,9.9,Agua Segura
6.2,29.0,33.5,477.0,-79.0,3.3,Anomalia Biologica/Estancamiento
7.6,298.0,20.8,654.0,250.0,7.5,Anomalia Fisica
7.9,2.0,20.4,753.0,114.0,4.5,Agua Segura
2.8,11.0,25.0,1000.0,-372.0,4.9,Anomalia Quimica
8.2,4000.0,23.6,465.0,376.0,8.1,Anomalia de Hardware
7.4,3.0,21.2,900.0,384.0,8.8,Agua Segura
8.1,0.0,25.5,544.0,425.0,9.4,Agua Segura
7.6,168.0,22.2,636.0,159.0,6.2,Anomalia Fisica
6.7,2.0,28.8,400.0,389.0,7.6,Agua Segura
4.6,2.0,22.8,1000.0,-746.0,4.6,Anomalia Quimica
7.4,67.0,20.9,397.0,246.0,6.5,Anomalia Fisica
8.5,1.0,30.1,188.0,574.0,8.9,Agua Segura
7.3,8.0,34.2,705.0,-98.0,2.1,Anomalia Biologica/Estancamiento
8.1,1.0,27.9,777.0,362.0,9.1,Agua Segura
7.8,0.0,22.5,703.0,427.0,6.0,Agua Segura
8.4,1.0,29.2,792.0,313.0,6.4,Agua Segura
7.7,2.0,28.6,715.0,393.0,8.1,Agua Segura
6.9,16.0,25.7,513.0,-77.0,2.7,Anomalia Biologica/Estancamiento
8.1,2.0,29.3,540.0,155.0,5.5,Agua Segura
6.4,20.0,34.4,570.0,10.0,0.4,Anomalia Biologica/Estancamiento
8.3,0.0,22.5,710.0,569.0,7.9,Agua Segura
8.3,154.0,23.6,318.0,150.0,6.0,Anomalia Fisica
7.8,2.0,29.3,172.0,250.0,9.0,Agua Segura
6.6,2.0,22.6,467.0,267.0,7.9,Agua Segura
5.2,3.0,19.3,1000.0,-533.0,5.7,Anomalia Quimica
8.2,2.0,18.9,526.0,277.0,8.9,Agua Segura
6.6,1.0,29.5,549.0,420.0,7.7,Agua Segura
7.0,2.0,28.2,681.0,531.0,8.5,Agua Segura
7.6,2.0,21.5,102.0,387.0,9.3,Agua Segura
8.4,14.0,32.8,482.0,33.0,1.5,Anomalia Biologica/Estancamiento
3.4,12.0,23.3,1000.0,-476.0,4.7,Anomalia Quimica
7.8,1.0,19.0,239.0,-4.0,0.1,Anomalia de Hardware
4.1,14.0,19.3,1000.0,-412.0,5.8,Anomalia Quimica
7.7,15.0,30.5,550.0,-26.0,1.3,Anomalia Biologica/Estancamiento
7.0,1.0,25.0,517.0,145.0,4.3,Agua Segura
7.7,1.0,22.4,598.0,492.0,7.4,Agua Segura
6.7,1.0,20.8,361.0,487.0,6.9,Agua Segura
6.8,2.0,24.5,617.0,384.0,8.5,Agua Segura
6.7,2.0,17.5,735.0,1000.0,7.2,Anomalia de Hardware
7.5,1.0,22.7,454.0,223.0,6.6,Agua Segura
7.6,1.0,27.4,573.0,137.0,5.5,Agua Segura
7.7,1.0,24.0,103.0,264.0,9.8,Agua Segura
6.9,191.0,27.5,312.0,266.0,6.3,Anomalia Fisica
7.3,2.0,27.7,642.0,350.0,6.8,Agua Segura
6.8,0.0,28.4,305.0,493.0,9.0,Agua Segura
7.6,2.0,25.5,250.0,212.0,8.8,Agua Segura
7.5,1.0,18.4,630.0,214.0,9.3,Agua Segura
4.2,11.0,22.3,1000.0,-387.0,5.4,Anomalia Quimica
7.9,0.0,21.4,590.0,517.0,9.6,Agua Segura
7.6,1.0,16.7,110.0,305.0,6.3,Agua Segura
7.1,0.0,21.4,294.0,382.0,7.1,Agua Segura
8.0,2.0,20.5,240.0,481.0,8.5,Agua Segura
8.3,0.0,20.6,393.0,461.0,7.3,Agua Segura
7.4,2.0,24.6,482.0,215.0,6.0,Agua Segura
8.2,62.0,28.4,452.0,146.0,7.6,Anomalia Fisica
6.9,265.0,28.7,726.0,296.0,7.7,Anomalia Fisica
7.4,1.0,25.1,625.0,343.0,7.4,Agua Segura
7.0,1.0,18.1,82.0,373.0,8.5,Agua Segura
8.4,1.0,20.2,138.0,389.0,7.9,Agua Segura
7.6,2.0,28.8,551.0,293.0,8.5,Agua Segura
6.9,16.0,27.9,273.0,-102.0,0.7,Anomalia Biologica/Estancamiento
7.9,2.0,19.2,555.0,424.0,8.0,Agua Segura
7.8,2.0,16.6,103.0,524.0,7.4,Agua Segura
7.3,0.0,26.5,644.0,372.0,6.8,Agua Segura
6.5,27.0,29.4,577.0,6.0,1.9,Anomalia Biologica/Estancamiento
8.0,0.0,24.6,361.0,160.0,4.2,Agua Segura
6.8,2.0,18.9,253.0,493.0,9.8,Agua Segura
6.8,0.0,23.9,358.0,284.0,7.4,Agua Segura
7.0,56.0,17.3,296.0,146.0,7.8,Anomalia Fisica
8.2,1.0,28.3,425.0,588.0,9.9,Agua Segura
2.6,8.0,16.8,1000.0,-133.0,4.0,Anomalia Quimica
8.0,2.0,21.3,162.0,195.0,5.7,Agua Segura
6.7,2.0,16.4,416.0,114.0,4.8,Agua Segura
7.0,1.0,20.7,97.0,121.0,5.7,Agua Segura
8.2,52.0,21.4,710.0,386.0,5.1,Anomalia Fisica
6.6,206.0,28.9,592.0,307.0,6.5,Anomalia Fisica
7.6,1.0,22.5,404.0,493.0,9.9,Agua Segura
6.8,2.0,23.7,472.0,247.0,6.2,Agua Segura
7.6,2.0,22.2,333.0,226.0,6.4,Agua Segura
7.9,3.0,17.2,946.0,424.0,8.3,Agua Segura
7.1,0.0,19.4,116.0,506.0,9.0,Agua Segura
7.0,2.0,28.6,425.0,263.0,6.9,Agua Segura
8.3,1.0,26.5,758.0,592.0,6.3,Agua Segura
8.3,1.0,22.7,225.0,192.0,5.9,Agua Segura
8.1,0.0,26.3,144.0,997.0,7.1,Anomalia de Hardware
3.8,14.0,28.4,1000.0,-703.0,3.2,Anomalia Quimica
7.3,2.0,19.9,147.0,146.0,5.0,Agua Segura
7.4,44.0,16.1,605.0,257.0,4.4,Anomalia Fisica
2.5,8.0,25.4,1000.0,-321.0,2.9,Anomalia Quimica
8.2,3.0,26.1,939.0,600.0,6.1,Agua Segura
7.4,250.0,22.6,369.0,181.0,4.7,Anomalia Fisica
7.4,8.0,31.8,230.0,-57.0,2.7,Anomalia Biologica/Estancamiento
7.8,2.0,27.2,70.0,325.0,7.1,Agua Segura
2.2,0.0,27.2,1000.0,-653.0,3.3,Anomalia Quimica
6.9,2.0,27.4,160.0,119.0,4.2,Agua Segura
8.2,2.0,21.6,98.0,283.0,6.9,Agua Segura
7.7,1.0,16.7,361.0,-12.0,0.1,Anomalia de Hardware
6.6,1.0,23.9,742.0,0.0,0.1,Anomalia de Hardware
7.8,2.0,28.3,462.0,588.0,7.2,Agua Segura
6.8,2.0,18.2,337.0,-4.0,0.1,Anomalia de Hardware
8.2,2.0,19.6,220.0,547.0,7.8,Agua Segura
8.2,0.0,29.4,97.0,313.0,6.0,Agua Segura
7.0,0.0,17.2,182.0,322.0,8.9,Agua Segura
7.6,2.0,23.3,497.0,360.0,7.6,Agua Segura
8.0,1.0,27.3,394.0,1000.0,9.3,Anomalia de Hardware
8.4,2.0,29.6,299.0,580.0,8.9,Agua Segura
7.6,4000.0,15.5,281.0,526.0,6.8,Anomalia de Hardware
7.8,2.0,24.5,756.0,253.0,7.0,Agua Segura
7.1,2.0,15.7,369.0,256.0,6.3,Agua Segura
6.9,2.0,27.6,294.0,469.0,7.2,Agua Segura
7.0,2.0,16.2,616.0,292.0,9.8,Agua Segura
2.3,3.0,21.8,1000.0,-350.0,5.8,Anomalia Quimica
7.2,1.0,25.6,672.0,467.0,6.3,Agua Segura
8.2,1.0,16.6,134.0,283.0,8.5,Agua Segura
7.7,202.0,28.8,675.0,363.0,4.2,Anomalia Fisica
7.1,1.0,29.6,213.0,262.0,8.7,Agua Segura
7.6,12.0,28.9,677.0,3.0,2.8,Anomalia Biologica/Estancamiento
8.2,1.0,19.5,157.0,417.0,7.9,Agua Segura
8.3,2.0,24.2,218.0,183.0,7.6,Agua Segura
7.5,0.0,23.9,192.0,236.0,8.9,Agua Segura
7.6,2.0,16.8,488.0,386.0,8.9,Agua Segura
8.4,12.0,29.9,310.0,-86.0,1.2,Anomalia Biologica/Estancamiento
7.5,2.0,26.5,481.0,489.0,8.9,Agua Segura
6.8,0.0,15.7,651.0,352.0,7.4,Agua Segura
7.3,2.0,24.8,596.0,505.0,9.4,Agua Segura
8.0,1.0,20.4,722.0,378.0,8.5,Agua Segura
7.7,2.0,28.6,488.0,294.0,7.5,Agua Segura
8.1,1.0,28.0,41.0,564.0,6.6,Agua Segura
3.9,15.0,18.2,1000.0,-161.0,5.7,Anomalia Quimica
4.1,1.0,24.8,1000.0,-714.0,3.1,Anomalia Quimica
6.9,2.0,17.8,644.0,559.0,6.2,Agua Segura
2.7,1.0,18.6,1000.0,-659.0,6.1,Anomalia Quimica
7.7,2.0,27.8,121.0,231.0,10.0,Agua Segura
6.2,25.0,26.5,585.0,-24.0,2.0,Anomalia Biologica/Estancamiento
6.7,1.0,23.5,421.0,503.0,8.3,Agua Segura
8.3,49.0,18.2,619.0,323.0,5.6,Anomalia Fisica
7.5,2.0,17.7,604.0,251.0,8.9,Agua Segura
7.3,2.0,17.3,682.0,569.0,6.8,Agua Segura
8.1,1.0,16.5,510.0,327.0,9.4,Agua Segura
7.9,131.0,25.9,807.0,307.0,7.6,Anomalia Fisica
7.1,275.0,21.9,593.0,392.0,5.1,Anomalia Fisica
8.2,1.0,15.5,690.0,235.0,7.5,Agua Segura
12.2,0.0,15.4,86.0,253.0,6.3,Anomalia de Hardware
6.8,0.0,16.5,389.0,309.0,9.9,Agua Segura
8.1,1.0,19.4,127.0,605.0,6.8,Agua Segura
8.5,1.0,21.9,482.0,506.0,8.5,Agua Segura
6.9,3.0,20.5,1000.0,233.0,8.7,Agua Segura
7.4,23.0,29.3,484.0,-24.0,0.8,Anomalia Biologica/Estancamiento
7.6,25.0,27.9,498.0,-31.0,0.8,Anomalia Biologica/Estancamiento
8.1,58.0,19.1,444.0,130.0,4.8,Anomalia Fisica
6.0,19.0,29.4,346.0,-16.0,1.3,Anomalia Biologica/Estancamiento
7.5,28.0,25.7,700.0,20.0,2.9,Anomalia Biologica/Estancamiento
7.0,2.0,29.4,255.0,336.0,7.0,Agua Segura
7.5,3.0,23.8,894.0,232.0,7.4,Agua Segura
3.0,9.0,16.0,1000.0,-276.0,4.3,Anomalia Quimica
4.7,12.0,21.1,1000.0,-385.0,2.9,Anomalia Quimica
7.2,2.0,16.4,544.0,12.0,0.0,Anomalia de Hardware
